./agents/active_inference/precision.py:125:61: E502 the backslash is redundant between brackets
./agents/active_inference/precision.py:126:21: E128 continuation line under-indented for visual indent
./agents/active_inference/precision.py:155:80: E501 line too long (87 > 79 characters)
./agents/base/active_inference_integration.py:216:80: E501 line too long (83 > 79 characters)
./agents/base/active_inference_integration.py:218:80: E501 line too long (82 > 79 characters)
./agents/base/active_inference_integration.py:220:80: E501 line too long (82 > 79 characters)
./agents/base/active_inference_integration.py:337:80: E501 line too long (97 > 79 characters)
./agents/base/active_inference_integration.py:412:80: E501 line too long (82 > 79 characters)
./agents/base/active_inference_integration.py:427:80: E501 line too long (83 > 79 characters)
./agents/base/active_inference_integration.py:428:80: E501 line too long (86 > 79 characters)
./agents/base/active_inference_integration.py:579:80: E501 line too long (95 > 79 characters)
./agents/base/active_inference_integration.py:580:80: E501 line too long (87 > 79 characters)
./agents/base/active_inference_integration.py:611:80: E501 line too long (95 > 79 characters)
./agents/base/active_inference_integration.py:613:80: E501 line too long (82 > 79 characters)
./agents/base/agent.py:36:80: E501 line too long (84 > 79 characters)
./agents/base/agent.py:203:80: E501 line too long (81 > 79 characters)
./agents/base/agent.py:242:80: E501 line too long (91 > 79 characters)
./agents/base/agent.py:267:80: E501 line too long (83 > 79 characters)
./agents/base/agent.py:275:80: E501 line too long (82 > 79 characters)
./agents/base/agent.py:285:80: E501 line too long (82 > 79 characters)
./agents/base/agent.py:288:80: E501 line too long (95 > 79 characters)
./agents/base/agent.py:289:80: E501 line too long (96 > 79 characters)
./agents/base/agent.py:566:80: E501 line too long (87 > 79 characters)
./agents/base/agent.py:740:80: E501 line too long (81 > 79 characters)
./agents/base/agent_factory.py:18:80: E501 line too long (91 > 79 characters)
./agents/base/agent_factory.py:177:80: E501 line too long (89 > 79 characters)
./agents/base/agent_factory.py:420:80: E501 line too long (86 > 79 characters)
./agents/base/agent_template.py:6:80: E501 line too long (80 > 79 characters)
./agents/base/agent_template.py:117:80: E501 line too long (92 > 79 characters)
./agents/base/agent_template.py:118:80: E501 line too long (86 > 79 characters)
./agents/base/agent_template.py:211:80: E501 line too long (96 > 79 characters)
./agents/base/agent_template.py:214:80: E501 line too long (83 > 79 characters)
./agents/base/agent_template.py:239:80: E501 line too long (96 > 79 characters)
./agents/base/agent_template.py:268:80: E501 line too long (92 > 79 characters)
./agents/base/agent_template.py:304:80: E501 line too long (92 > 79 characters)
./agents/base/behaviors.py:11:80: E501 line too long (89 > 79 characters)
./agents/base/behaviors.py:22:80: E501 line too long (85 > 79 characters)
./agents/base/behaviors.py:105:80: E501 line too long (81 > 79 characters)
./agents/base/behaviors.py:258:80: E501 line too long (86 > 79 characters)
./agents/base/behaviors.py:277:80: E501 line too long (80 > 79 characters)
./agents/base/behaviors.py:290:80: E501 line too long (80 > 79 characters)
./agents/base/behaviors.py:434:80: E501 line too long (85 > 79 characters)
./agents/base/behaviors.py:483:80: E501 line too long (84 > 79 characters)
./agents/base/communication.py:312:80: E501 line too long (82 > 79 characters)
./agents/base/communication.py:326:80: E501 line too long (90 > 79 characters)
./agents/base/communication.py:388:80: E501 line too long (81 > 79 characters)
./agents/base/communication.py:533:80: E501 line too long (83 > 79 characters)
./agents/base/data_model.py:470:80: E501 line too long (90 > 79 characters)
./agents/base/data_model.py:590:80: E501 line too long (83 > 79 characters)
./agents/base/decision_making.py:12:80: E501 line too long (80 > 79 characters)
./agents/base/decision_making.py:254:80: E501 line too long (81 > 79 characters)
./agents/base/decision_making.py:325:80: E501 line too long (89 > 79 characters)
./agents/base/decision_making.py:330:80: E501 line too long (91 > 79 characters)
./agents/base/decision_making.py:334:80: E501 line too long (85 > 79 characters)
./agents/base/decision_making.py:355:80: E501 line too long (82 > 79 characters)
./agents/base/decision_making.py:511:80: E501 line too long (83 > 79 characters)
./agents/base/decision_making.py:530:80: E501 line too long (82 > 79 characters)
./agents/base/decision_making.py:561:80: E501 line too long (83 > 79 characters)
./agents/base/decision_making.py:647:80: E501 line too long (87 > 79 characters)
./agents/base/decision_making.py:747:80: E501 line too long (92 > 79 characters)
./agents/base/decision_making.py:795:80: E501 line too long (99 > 79 characters)
./agents/base/decision_making.py:828:80: E501 line too long (85 > 79 characters)
./agents/base/epistemic_value_engine.py:76:80: E501 line too long (80 > 79 characters)
./agents/base/epistemic_value_engine.py:131:80: E501 line too long (85 > 79 characters)
./agents/base/epistemic_value_engine.py:174:80: E501 line too long (96 > 79 characters)
./agents/base/epistemic_value_engine.py:191:80: E501 line too long (84 > 79 characters)
./agents/base/epistemic_value_engine.py:194:80: E501 line too long (86 > 79 characters)
./agents/base/epistemic_value_engine.py:231:80: E501 line too long (82 > 79 characters)
